time_s,max_C,argmax_index,argmax_coordinate_cm,argmax_xi,center_C,surface_C,event_value
59287.0,0.14999481983322088,0,0.0,0.0,0.14999481983322088,0.11280278952444762,-5.180166779111817e-06
59288.0,0.14998854054275865,0,0.0,0.0,0.14998854054275865,0.1127989104502027,-1.1459457241347337e-05
59289.0,0.14998226145117324,0,0.0,0.0,0.14998226145117324,0.11279503149469097,-1.7738548826751188e-05
59290.0,0.14997598289735065,0,0.0,0.0,0.14997598289735065,0.1127911528602337,-2.4017102649348532e-05
59291.0,0.1499697047018595,0,0.0,0.0,0.1499697047018595,0.11278727443968722,-3.0295298140498028e-05
59292.0,0.14996342685012162,0,0.0,0.0,0.14996342685012162,0.11278339622433754,-3.657314987837168e-05
59293.0,0.14995714936825066,0,0.0,0.0,0.14995714936825066,0.11277951822979398,-4.285063174933046e-05
59294.0,0.14995087225624668,0,0.0,0.0,0.14995087225624668,0.11277564045605654,-4.912774375331885e-05
59295.0,0.14994459551410963,0,0.0,0.0,0.14994459551410963,0.11277176290312521,-5.540448589036462e-05
59296.0,0.14993831914183953,0,0.0,0.0,0.14993831914183953,0.11276788557100001,-6.168085816046776e-05
59297.0,0.14993204313943634,0,0.0,0.0,0.14993204313943634,0.11276400845968092,-6.795686056365602e-05
59298.0,0.14992576753571554,0,0.0,0.0,0.14992576753571554,0.11276013158636591,-7.423246428445163e-05
59299.0,0.14991949233134183,0,0.0,0.0,0.14991949233134183,0.11275625495145175,-8.050766865816406e-05
59300.0,0.1499132175096849,0,0.0,0.0,0.1499132175096849,0.11275237854501287,-8.678249031510155e-05
59301.0,0.14990694307074467,0,0.0,0.0,0.14990694307074467,0.11274850236704928,-9.305692925531961e-05
59302.0,0.1499006690145212,0,0.0,0.0,0.1499006690145212,0.11274462641756097,-9.933098547879049e-05
59303.0,0.14989439534101445,0,0.0,0.0,0.14989439534101445,0.11274075069654795,-0.00010560465898554194
59304.0,0.14988812205022445,0,0.0,0.0,0.14988812205022445,0.11273687520401023,-0.00011187794977554621
59305.0,0.1498818491639383,0,0.0,0.0,0.1498818491639383,0.11273299995297079,-0.0001181508360617034
59306.0,0.14987557667535942,0,0.0,0.0,0.14987557667535942,0.11272912493936707,-0.00012442332464057682
59307.0,0.14986930457738346,0,0.0,0.0,0.14986930457738346,0.1127252501589525,-0.0001306954226165391
59308.0,0.14986303287001038,0,0.0,0.0,0.14986303287001038,0.11272137561172707,-0.00013696712998961802
59309.0,0.14985676155324018,0,0.0,0.0,0.14985676155324018,0.1127175012976908,-0.00014323844675981356
59310.0,0.14985049062707287,0,0.0,0.0,0.14985049062707287,0.11271362721684366,-0.00014950937292712574
59311.0,0.14984422009150847,0,0.0,0.0,0.14984422009150847,0.11270975336918569,-0.00015577990849152679
59312.0,0.14983794996312508,0,0.0,0.0,0.14983794996312508,0.11270587976471025,-0.0001620500368749167
59313.0,0.1498316802300028,0,0.0,0.0,0.1498316802300028,0.11270200639623193,-0.000168319769997205
59314.0,0.1498254108894486,0,0.0,0.0,0.1498254108894486,0.1126981332621274,-0.00017458911055140414
59315.0,0.14981914194146245,0,0.0,0.0,0.14981914194146245,0.11269426036239664,-0.0001808580585375419
59316.0,0.14981287338604443,0,0.0,0.0,0.14981287338604443,0.11269038769703965,-0.00018712661395556274
59317.0,0.14980660522319447,0,0.0,0.0,0.14980660522319447,0.11268651526605644,-0.0001933947768055222
59318.0,0.1498003374529126,0,0.0,0.0,0.1498003374529126,0.11268264306944702,-0.0001996625470873925
59319.0,0.14979407007519882,0,0.0,0.0,0.14979407007519882,0.11267877110721136,-0.00020592992480117367
59320.0,0.14978780309005313,0,0.0,0.0,0.14978780309005313,0.11267489937934948,-0.00021219690994686569
59321.0,0.1497815364974755,0,0.0,0.0,0.1497815364974755,0.11267102788586136,-0.0002184635025244963
59322.0,0.14977527029746596,0,0.0,0.0,0.14977527029746596,0.11266715662674703,-0.0002247297025340378
59323.0,0.1497690044900245,0,0.0,0.0,0.1497690044900245,0.11266328560200649,-0.00023099550997549012
59324.0,0.14976273907515114,0,0.0,0.0,0.14976273907515114,0.1126594148116397,-0.0002372609248488533
59325.0,0.14975647405284587,0,0.0,0.0,0.14975647405284587,0.1126555442556467,-0.00024352594715412734
59326.0,0.14975020942310865,0,0.0,0.0,0.14975020942310865,0.11265167393402747,-0.00024979057689134
59327.0,0.14974394518593953,0,0.0,0.0,0.14974394518593953,0.11264780384678202,-0.0002560548140604635
59328.0,0.1497376813413385,0,0.0,0.0,0.1497376813413385,0.11264393399391034,-0.00026231865866149784
59329.0,0.14973141788930555,0,0.0,0.0,0.14973141788930555,0.11264006437541244,-0.00026858211069444304
59330.0,0.1497251548298407,0,0.0,0.0,0.1497251548298407,0.11263619499128831,-0.0002748451701592991
59331.0,0.1497188921668645,0,0.0,0.0,0.1497188921668645,0.11263232584404456,-0.0002811078331355077
59332.0,0.14971262989707163,0,0.0,0.0,0.14971262989707163,0.11262845693156796,-0.0002873701029283693
59333.0,0.14970636802026296,0,0.0,0.0,0.14970636802026296,0.11262458825373117,-0.00029363197973703015
59334.0,0.14970010653643845,0,0.0,0.0,0.14970010653643845,0.11262071981053416,-0.0002998934635615458
59335.0,0.14969384544559808,0,0.0,0.0,0.14969384544559808,0.11261685160197694,-0.0003061545544019162
59336.0,0.14968758474774188,0,0.0,0.0,0.14968758474774188,0.11261298362805952,-0.0003124152522581136
59337.0,0.14968132444286986,0,0.0,0.0,0.14968132444286986,0.11260911588878188,-0.00031867555713013807
59338.0,0.14967506453098198,0,0.0,0.0,0.14967506453098198,0.11260524838414404,-0.0003249354690180173
59339.0,0.14966880501207824,0,0.0,0.0,0.14966880501207824,0.11260138111414598,-0.0003311949879217513
